"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","significant","direction"
"11728232_a_at",4.92020816326529,6.45100918367347,39.2752013617535,5.24592335345441e-95,2.590751707337e-90,206.238771207996,"HIST1H3G","Significant","Up"
"11735833_a_at",4.69938061224489,5.85684642857143,37.5702181282694,1.16298183631174e-91,2.87175104840457e-87,198.61656328582,"HIST1H3G","Significant","Up"
"11719434_a_at",3.2970469387755,5.56677857142857,37.1918565130924,6.66307111991658e-91,1.09687476776067e-86,196.888321914688,"HIST1H3G","Significant","Up"
"11739128_a_at",3.59238469387754,5.91144132653061,36.392507258881,2.78308818476476e-89,3.08431485887396e-85,193.191910075442,"TNFAIP8L1","Significant","Up"
"11728234_a_at",4.22432959183673,5.29405969387755,36.347702746339,3.43685191181158e-89,3.08431485887396e-85,192.982881649348,"OTOP2","Significant","Up"
"11721993_at",3.30373469387754,6.54274387755102,36.3293567563046,3.74719336517308e-89,3.08431485887396e-85,192.897234448998,"C17orf78","Significant","Up"
"11732838_at",-6.54731632653059,7.0207887755102,-35.7409900857089,6.09977738213421e-88,3.79689493482107e-84,190.132841759979,"CTAGE6","Significant","Down"
"11715637_a_at",-1.6113387755102,11.2845846938776,-35.7392520844769,6.15056078211813e-88,3.79689493482107e-84,190.124624917243,"F8A1 /// F8A2 /// F8A3","Significant","Down"
"11733581_a_at",-4.65099999999998,5.13979387755102,-35.6563047879858,9.1392744480959e-88,5.01502453215182e-84,189.732118887744,"LOC285501","Significant","Down"
"11759464_at",-5.15750918367345,5.3260862244898,-34.7822189566767,6.18583475757524e-86,3.05493635337611e-82,185.553672667672,"SAMD7","Significant","Down"
"11758028_s_at",5.66009387755101,6.3678387755102,34.3941207727806,4.11940670597421e-85,1.84946381437493e-81,183.67333030267,"ARRDC5","Significant","Up"
"11750604_a_at",2.37282346938775,5.76385969387755,33.9562729009412,3.56333349960172e-84,1.46648990176109e-80,181.533110438476,"CGB /// CGB1 /// CGB2 /// CGB5 /// CGB7 /// CGB8","Significant","Up"
