,logFC,AveExpr,t,P.Value,adj.P.Val,B,GeneSymbol,significant,direction
11728232_a_at,4.920208163,6.451009184,39.27520136,5.25E-95,2.59E-90,206.2387712,HIST1H3G,Significant,Up
11735833_a_at,4.699380612,5.856846429,37.57021813,1.16E-91,2.87E-87,198.6165633,HIST1H3G,Significant,Up
11719434_a_at,3.297046939,5.566778571,37.19185651,6.66E-91,1.10E-86,196.8883219,HIST1H3G,Significant,Up
11739128_a_at,3.592384694,5.911441327,36.39250726,2.78E-89,3.08E-85,193.1919101,TNFAIP8L1,Significant,Up
11728234_a_at,4.224329592,5.294059694,36.34770275,3.44E-89,3.08E-85,192.9828816,OTOP2,Significant,Up
11721993_at,3.303734694,6.542743878,36.32935676,3.75E-89,3.08E-85,192.8972344,C17orf78,Significant,Up
11732838_at,-6.547316327,7.020788776,-35.74099009,6.10E-88,3.80E-84,190.1328418,CTAGE6,Significant,Down
11715637_a_at,-1.611338776,11.28458469,-35.73925208,6.15E-88,3.80E-84,190.1246249,F8A1 /// F8A2 /// F8A3,Significant,Down
11733581_a_at,-4.651,5.139793878,-35.65630479,9.14E-88,5.02E-84,189.7321189,LOC285501,Significant,Down
11759464_at,-5.157509184,5.326086224,-34.78221896,6.19E-86,3.05E-82,185.5536727,SAMD7,Significant,Down
11758028_s_at,5.660093878,6.367838776,34.39412077,4.12E-85,1.85E-81,183.6733303,ARRDC5,Significant,Up
11750604_a_at,2.372823469,5.763859694,33.9562729,3.56E-84,1.47E-80,181.5331104,CGB /// CGB1 /// CGB2 /// CGB5 /// CGB7 /// CGB8,Significant,Up
11721557_a_at,-4.28025102,5.920216327,-33.89045028,4.94E-84,1.88E-80,181.2096243,C1orf173,Significant,Down
11724538_a_at,-5.509316327,6.110631633,-33.7618061,9.35E-84,3.30E-80,180.576078,FAM86C,Significant,Down
11722783_at,4.677003061,4.563468878,33.39948033,5.70E-83,1.88E-79,178.7822406,FAM86C,Significant,Up
11737294_a_at,-6.928715306,6.601911735,-32.85620026,8.80E-82,2.72E-78,176.0661009,HIST1H2BI,Significant,Down
11726764_at,-6.616658163,7.115460714,-32.2374125,2.06E-80,6.00E-77,172.9332903,HIST1H4E,Significant,Down
11730386_at,-2.815180612,4.438911735,-32.21819997,2.28E-80,6.25E-77,172.8353457,HIST1H2AJ,Significant,Down
11747996_a_at,3.123677551,4.329285714,32.1438648,3.34E-80,8.68E-77,172.4560028,HIST1H2BF,Significant,Up
11742188_a_at,-4.470682653,5.11695051,-31.74152817,2.67E-79,6.59E-76,170.3921427,C2CD4B,Significant,Down
